Match,Score,Cote,Pct_parieurs
Cote d'Ivoire vs Equateur,1-4,50,0
Suede vs Tunisie,1-0,5.60,14
Suede vs Tunisie,0-0,7.25,45
Suede vs Tunisie,0-1,8.50,1
Suede vs Tunisie,2-0,7.00,8
Suede vs Tunisie,1-1,5.70,4
Suede vs Tunisie,0-2,18,0
Suede vs Tunisie,2-1,7.75,8
Suede vs Tunisie,2-2,14.50,2
Suede vs Tunisie,1-2,12,3
Suede vs Tunisie,3-0,13,5
Suede vs Tunisie,3-3,60,1
Suede vs Tunisie,0-3,48,0
Suede vs Tunisie,3-1,14,3
Suede vs Tunisie,4-4,300,0
Suede vs Tunisie,1-3,34,1
Suede vs Tunisie,3-2,29,0
Suede vs Tunisie,Autre,65,1
Suede vs Tunisie,2-3,44,0
Suede vs Tunisie,4-0,30,1
Suede vs Tunisie,0-4,110,0
Suede vs Tunisie,4-1,32,1
Suede vs Tunisie,1-4,85,1
Espagne vs Cap-Vert,1-0,8.00,1
Espagne vs Cap-Vert,0-0,25,8
Espagne vs Cap-Vert,0-1,46,1
Espagne vs Cap-Vert,2-0,5.40,7
Espagne vs Cap-Vert,1-1,21,0
Espagne vs Cap-Vert,0-2,110,0
Espagne vs Cap-Vert,2-1,11,2
Espagne vs Cap-Vert,2-2,50,0
Espagne vs Cap-Vert,1-2,55,5
Espagne vs Cap-Vert,3-0,5.10,12
Espagne vs Cap-Vert,3-3,150,0
Espagne vs Cap-Vert,0-3,450,0
Espagne vs Cap-Vert,3-1,10.50,3
Espagne vs Cap-Vert,4-4,500,0
Espagne vs Cap-Vert,1-3,180,0
Espagne vs Cap-Vert,3-2,40,0
Espagne vs Cap-Vert,Autre,6.50,40
Espagne vs Cap-Vert,2-3,130,0
Espagne vs Cap-Vert,4-0,6.00,9
Espagne vs Cap-Vert,0-4,500,0
Espagne vs Cap-Vert,4-1,13,2
Espagne vs Cap-Vert,1-4,500,0
Espagne vs Cap-Vert,4-2,48,0
Espagne vs Cap-Vert,2-4,500,0
Espagne vs Cap-Vert,4-3,150,0
Espagne vs Cap-Vert,3-4,450,0
Espagne vs Cap-Vert,5-0,8.50,6
Espagne vs Cap-Vert,0-5,500,1
Espagne vs Cap-Vert,5-1,19,3
Espagne vs Cap-Vert,1-5,500,0
Espagne vs Cap-Vert,5-2,60,0
Espagne vs Cap-Vert,2-5,500,0
Belgique vs Egypte,1-0,5.70,4
Belgique vs Egypte,0-0,8.50,26
Belgique vs Egypte,0-1,11,1
Belgique vs Egypte,2-0,6.25,10
Belgique vs Egypte,1-1,6.25,4
Belgique vs Egypte,0-2,24,1
Belgique vs Egypte,2-1,7.50,12
Belgique vs Egypte,2-2,15,2
Belgique vs Egypte,1-2,14.50,1
Belgique vs Egypte,3-0,9.50,18
Belgique vs Egypte,3-3,60,0
Belgique vs Egypte,0-3,60,0
Belgique vs Egypte,3-1,11.50,11
Belgique vs Egypte,4-4,300,1
Belgique vs Egypte,1-3,44,1
Belgique vs Egypte,3-2,26,1
Belgique vs Egypte,Autre,50,2
Belgique vs Egypte,2-3,48,0
Belgique vs Egypte,4-0,20,1
Belgique vs Egypte,0-4,160,0
Belgique vs Egypte,4-1,24,2
Belgique vs Egypte,1-4,100,1
Belgique vs Egypte,4-2,48,0
Belgique vs Egypte,2-4,110,0
Belgique vs Egypte,4-3,100,0
Belgique vs Egypte,3-4,160,0
Belgique vs Egypte,5-0,48,1
Belgique vs Egypte,0-5,450,0
Arabie Saoudite vs Uruguay,1-0,12.50,1
Arabie Saoudite vs Uruguay,0-0,8.50,59
Arabie Saoudite vs Uruguay,0-1,5.20,7
Arabie Saoudite vs Uruguay,2-0,32,0
Arabie Saoudite vs Uruguay,1-1,7.25,3
Arabie Saoudite vs Uruguay,0-2,5.40,9
Arabie Saoudite vs Uruguay,2-1,19,2
Arabie Saoudite vs Uruguay,2-2,20,1
Arabie Saoudite vs Uruguay,1-2,7.50,6
Arabie Saoudite vs Uruguay,3-0,75,0
Arabie Saoudite vs Uruguay,3-3,70,0
Arabie Saoudite vs Uruguay,0-3,8.00,2
Arabie Saoudite vs Uruguay,3-1,55,1
Arabie Saoudite vs Uruguay,4-4,450,0
Arabie Saoudite vs Uruguay,1-3,11,5
Arabie Saoudite vs Uruguay,3-2,60,1
Arabie Saoudite vs Uruguay,Autre,40,1
Arabie Saoudite vs Uruguay,2-3,30,0
Arabie Saoudite vs Uruguay,4-0,275,0
Arabie Saoudite vs Uruguay,0-4,15,1
Arabie Saoudite vs Uruguay,4-1,170,0
Arabie Saoudite vs Uruguay,1-4,22,1
